Title,Source title,Year,DOI,Cited by,term_loc
The Lost Productivity Cost of Premature Mortality Owing to Cancers in Iran: Evidence From the GLOBOCAN 2012 to 2018 Estimates,Value in Health Regional Issues,2022,10.1016/j.vhri.2022.02.002,8,INDEX_KW_ONLY
"Health status, life expectancy and early claiming of pension",SN Business and Economics,2024,10.1007/s43546-024-00640-7,2,title
Does Environmental Degradation and Renewable Energy Consumption Influence Health Outcomes? Evidence from Sub-Saharan Africa,Global Journal of Emerging Market Economies,2024,10.1177/09749101241238288,10,abstract
"Economic development, social–political factors and ecological footprint: a global panel data analysis",SN Business and Economics,2022,10.1007/s43546-022-00320-4,6,abstract
The Hidden Toll of Psychological Distress in Australian Adults and Its Impact on Health-Related Quality of Life Measured as Health State Utilities,Applied Health Economics and Health Policy,2024,10.1007/s40258-024-00879-z,2,INDEX_KW_ONLY
"Analysis and Modeling Gross Domestic Product, Carbon Dioxide Emission, Population Growth, and Life Expectancy at Birth: Case Study in Qatar",International Journal of Energy Economics and Policy,2023,10.32479/ijeep.14069,4,title
Forecast of Population Size and Demographic Burden in Russia up to 2100,Studies on Russian Economic Development,2022,10.1134/S1075700722040141,3,abstract
Environmental Determinants of Sustainable Development of the Country,Ukrainian Geographical Journal,2023,10.15407/ugz2023.02.048,3,abstract
Cost-effectiveness of screening smokers and ex-smokers for lung cancer in the Netherlands in different age groups,European Journal of Health Economics,2022,10.1007/s10198-021-01422-w,18,INDEX_KW_ONLY
ANALYZE FACTORS AFFECTING THE QUALITY OF ECONOMIC GROWTH IN THE SOUTHEAST REGION OF VIETNAM,Journal Of Organizational Behavior Research,2024,10.51847/pS9LSZx5PJ,1,abstract
STATUS OF SENIOR MEDIA LITERACY IN THE SLOVAK REPUBLIC,Communication Today,2023,10.34135/communicationtoday.2023.Vol.14.No.2.5,2,abstract
Evaluating Health Inequality in Five Caribbean Basin Countries Using EQ-5D-5L,Applied Health Economics and Health Policy,2022,10.1007/s40258-022-00754-9,9,INDEX_KW_ONLY
ACTIVE AGING IN RUSSIA DURING ECONOMIC STAGNATION: WHAT CAN WE LEARN FROM THE DYNAMICS OF THE ACTIVE AGЕING INDEX?; [АКТИВНОЕ ДОЛГОЛЕТИЕ В РОССИИ В УСЛОВИЯХ ЭКОНОМИЧЕСКОЙ СТАГНАЦИИ: ЧТО ПОКАЗЫВАЕТ ДИНАМИКА ИНДЕКСА АКТИВНОГО ДОЛГОЛЕТИЯ?],Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny,2022,10.14515/monitoring.2022.5.2043,4,abstract
Cohort consumption in the Russian Federation,Population and Economics,2023,10.3897/popecon.7.e108830,2,abstract
Multivariate Analysis of Food Security and Its Driving Factors,Agris On-line Papers in Economics and Informatics,2024,10.7160/aol.2024.160108,0,abstract
Enhancing Labour Mobility Amid Europe’s Transitions: Prospects for Europe - Africa Cooperation,Global Trade and Customs Journal,2024,10.54648/GTCJ2024055,0,abstract
Social justice and medical leadership: what is preventing trainees in the East Midlands from accessing leadership training?,BMJ Leader,2023,10.1136/leader-2023-000782,0,abstract
On the feasibility of reverse mortgages in Colombia,International Journal of Housing Markets and Analysis,2022,10.1108/IJHMA-05-2021-0063,7,abstract
Do remittances matter for health outcomes in developing countries? Fresh evidence from a panel vector autoregressive (PVAR) model,International Journal of Development Issues,2022,10.1108/IJDI-04-2022-0079,11,abstract
Examining the relationship of healthcare expenditures and socio-economic factors with population health in Russia,International Review of Economics,2024,10.1007/s12232-024-00469-4,0,abstract
Halal-organic meat: a successful business and humanitarian model,Humanities and Social Sciences Communications,2023,10.1057/s41599-023-02097-9,9,abstract
Demography and Pensions: Analysis of Redistribution Effects; [Demografía y pensiones: Análisis de los efectos redistributivos],Cuadernos Economicos de ICE,2023,10.32796/cice.2023.105.7558,0,abstract
Pension Systems Rules and Labor Force Participation among individuals 50 to 70: Evidence for Chile; [Las reglas de los sistemas de pensiones y la participación laboral entre los 50 y los 70 años: evidencia para Chile],Estudios Publicos,2023,10.38178/07183089/1000230410,1,author_kw
Cost and Cost-Effectiveness of Treating Childhood Cancer at Jimma Medical Center,ClinicoEconomics and Outcomes Research,2023,10.2147/CEOR.S395170,4,abstract
"Municipal solid waste (MSW) under the population shrinking and aging: Spatio-temporal patterns, driving forces, and the impact of smart city development",Journal of Cleaner Production,2024,10.1016/j.jclepro.2023.140124,22,abstract
Using Economics to Impact Local Obesity Policy: Introducing the UK Centre for Economics of Obesity (CEO),Applied Health Economics and Health Policy,2022,10.1007/s40258-022-00738-9,7,INDEX_KW_ONLY
Effects of Educational and Socio-economic Factors on Child Marriages in India: A Statistical Analysis,Indian Journal of Human Development,2024,10.1177/09737030241288699,1,abstract
Demographic Development of Russia within the Boundaries of Human Capital Theory: Problems and Solutions,WSEAS Transactions on Business and Economics,2024,10.37394/23207.2024.21.142,1,abstract
"National culture, public health spending and life insurance consumption: an international comparison",Humanities and Social Sciences Communications,2023,10.1057/s41599-023-01990-7,7,abstract
Implications of public policies performance on social inequality worldwide,SN Business and Economics,2024,10.1007/s43546-024-00704-8,1,abstract
IS THE KWAP DEFINED BENEFIT PENSION FUND SUSTAINABLE IN THE LONG RUN?,International Journal of Banking and Finance,2023,10.32890/ijbf2023.18.2.5,1,abstract
Social Investing as Tool to Improve the Quality of Life. Implications for the Sustainable Development and Environmental Vulnerability,Journal of Environmental Management and Tourism,2023,10.14505/jemt.14.3(67).22,0,abstract
Socio-economic impact assessment of environmental degradation in Pakistan: fresh evidence from the Markov switching equilibrium correction model,"Environment, Development and Sustainability",2022,10.1007/s10668-021-02013-8,39,abstract
IMPROVING PENSION FUNDS’ PERFORMANCE USING DATA ENVELOPMENT ANALYSIS CONSIDERING GOVERNMENT REGULATIONS,Corporate Governance and Sustainability Review,2023,10.22495/cgsrv7i2p4,1,abstract
Population Dynamics in Russia in the Context of Global Trends,Studies on Russian Economic Development,2022,10.1134/S1075700722040098,15,abstract
Multivariate Relationships Between Health Outcomes and Health System Performance Indicators: An Integrated Factor Analysis With Canonical Correlations,Value in Health Regional Issues,2024,10.1016/j.vhri.2023.10.009,5,abstract
Assessment of the Demographic Reserve to Extend the Economic Activity of the Older Population in the Northern Region; [оценка демографического резерва продления экономической активности населения старших возрастов в северном регионе1],Economy of Regions,2023,10.17059/ekon.reg.2023-3-9,0,abstract
Public Health Efficiency and Country Competitiveness: Empirical Study in Pre-Pandemic and Pandemic Periods,Forum Scientiae Oeconomia,2024,10.23762/FSO_VOL12_NO1_8,26,abstract
"Labor force dynamics and economic performance: A case of Nigeria, India, and China",Journal of Economics and Management (Poland),2024,10.22367/jem.2024.46.06,1,abstract
Cost Effectiveness of Denosumab for Secondary Prevention of Osteoporotic Fractures Among Postmenopausal Women in China: An Individual-Level Simulation Analysis,Applied Health Economics and Health Policy,2023,10.1007/s40258-022-00784-3,1,INDEX_KW_ONLY
Can we cure aging?,Futuribles: Analyse et Prospective,2022,,0,abstract
Environmental safety performance dynamics and estimation of the deterioration of leachate containment elements: Implications for the lifespan of hazardous waste landfills,Journal of Cleaner Production,2024,10.1016/j.jclepro.2024.143601,3,abstract
Socioeconomic development and sustainable development in Nigeria: the roles of poverty reduction and social inclusion,Journal of Business and Socio-economic Development,2023,10.1108/JBSED-10-2021-0137,18,abstract
Financial and Investment Model for social security and sustainable Economic Growth; [Финансово-инвестиционные модели социального обеспечения и устойчивого экономического роста],Finance: Theory and Practice,2024,10.26794/2587-5671-2024-28-5-133-145,19,abstract
STATISTICAL EVALUATION OF PROGRESS TOWARDS ACHIEVING THE STRATEGIC GOAL OF LIFE EXPECTANCY GROWTH IN THE RUSSIAN ARCTIC; [СТАТИСТИЧЕСКАЯ ОЦЕНКА ДОСТИЖЕНИЯ СТРАТЕГИЧЕСКОЙ ЦЕЛИ ПО ПРОДОЛЖИТЕЛЬНОСТИ ЖИЗНИ НАСЕЛЕНИЯ АРКТИЧЕСКИХ РЕГИОНОВ РОССИИ],Sever i Rynok: Formirovanie Ekonomiceskogo Poradka,2023,10.37614/2220-802X.3.2023.81.006,1,title
Optimal configuration of shared energy storage for industrial users considering lifetime and charge-discharge strategy coupling,Frontiers in Energy Research,2024,10.3389/fenrg.2024.1510259,5,abstract
WORK-LIFE EXPECTANCY IN THE ARCTIC AMID CONTEMPORARY SOCIO-DEMOGRAPHIC SHIFTS; [ПРОДОЛЖИТЕЛЬНОСТЬ ТРУДОВОЙ ЖИЗНИ НАСЕЛЕНИЯ АРКТИЧЕСКОГО РЕГИОНА В КОНТЕКСТЕ СОВРЕМЕННЫХ СОЦИАЛЬНО-ДЕМОГРАФИЧЕСКИХ ИЗМЕНЕНИЙ],Sever i Rynok: Formirovanie Ekonomiceskogo Poradka,2023,10.37614/2220-802X.3.2023.81.008,2,title
MODELING HUMAN SOCIAL SECURITY DURING WAR,Neuro-Fuzzy Modeling Techniques in Economics,2023,10.33111/nfmte.2023.111,1,abstract
Hand-to-hand combat in the 21st century—INNOAGON warrior or modern gladiator?—a prospective study,Frontiers in Sports and Active Living,2024,10.3389/fspor.2024.1383665,18,abstract
Pension Policy After the Budget Verdict: No Maximum Demands; [Rentenpolitik nach dem Haushaltsurteil: keine Maximalforderungen],Wirtschaftsdienst,2024,10.2478/wd-2024-0032,1,abstract
Budget Impact Analysis of Nusinersen for Spinal Muscular Atrophy in China,Value in Health Regional Issues,2023,10.1016/j.vhri.2022.08.015,4,INDEX_KW_ONLY
"Health Status, Government Health Expenditure and Economic Growth Nexus in India: A Toda–Yamamoto Causality Approach",Arthaniti: Journal of Economic Theory and Practice,2023,10.1177/0976747920963401,18,abstract
Cost of Lung Cancer: A Systematic Review,Value in Health Regional Issues,2023,10.1016/j.vhri.2022.07.007,36,INDEX_KW_ONLY
How can artificial intelligence and data science algorithms predict life expectancy - An empirical investigation spanning 193 countries,International Journal of Information Management Data Insights,2023,10.1016/j.jjimei.2023.100168,13,title
A calendar year mortality model in continuous time,ASTIN Bulletin,2023,10.1017/asb.2023.2,1,abstract
Delayed Social Security Claiming: Why Do So Few Participants Delay Claiming Past Age 65?,Journal of Retirement,2024,10.3905/jor.2024.1.162,0,abstract
Associations of (un)observed factors and gender inequality in European countries: Evidence from spatial panel data model,Applied Geography,2023,10.1016/j.apgeog.2023.103066,6,abstract
Suitability of stochastic models for mortality projection in Korea: a follow-up discussion,Communications for Statistical Applications and Methods,2021,10.29220/CSAM.2021.28.2.171,1,abstract
Population aging and inequality; [Envelhecimento da população e desigualdade],Brazilian Journal of Political Economy,2021,10.1590/0101-31572021-3068,12,abstract
